x,y,distortion
17,16,0.2601
17,18,0.2569
17,19,0.2634
17,20,0.2467
18,1,0.2273
18,2,0.2269
18,3,0.2452
18,4,0.2408
18,5,0.2812
18,6,0.2537
18,7,0.2579
18,8,0.2445
18,9,0.2600
18,10,0.2099
18,11,0.2612
18,12,0.2273
18,13,0.2626
18,14,0.2655
18,15,0.2815
18,16,0.2600
18,17,0.2569
18,19,0.2424
18,20,0.2276
19,1,0.2569
19,2,0.2362
19,3,0.2936
19,4,0.2579
19,5,0.2631
19,6,0.2599
19,7,0.2655
19,8,0.2804
19,9,0.2857
19,10,0.2574
19,11,0.2687
19,12,0.2391
19,13,0.2734
19,14,0.2870
19,15,0.2704
19,16,0.2815
19,17,0.2634
19,18,0.2424
19,20,0.2335
20,1,0.2379
20,2,0.2164
20,3,0.2563
20,4,0.2345
20,5,0.2453
20,6,0.2295
20,7,0.2566
20,8,0.2306
20,9,0.2554
20,10,0.2374
20,11,0.2518
20,12,0.2019
20,13,0.2421
20,14,0.2626
20,15,0.2609
20,16,0.2600
20,17,0.2467
20,18,0.2276
20,19,0.2335
