x,y,distortion
1,2,0.2442
1,3,0.2393
1,4,0.2432
1,5,0.2563
1,6,0.2231
1,7,0.2681
1,8,0.2518
1,9,0.2655
1,10,0.2305
1,11,0.2767
1,12,0.2192
1,13,0.2696
1,14,0.2710
1,15,0.2683
1,16,0.2493
1,17,0.1990
1,18,0.2273
1,19,0.2569
1,20,0.2379
2,1,0.2442
2,3,0.2292
2,4,0.2379
2,5,0.2096
2,6,0.1933
2,7,0.2546
2,8,0.2214
2,9,0.2597
2,10,0.2184
2,11,0.2686
2,12,0.2350
2,13,0.2776
2,14,0.2717
2,15,0.2591
2,16,0.2334
2,17,0.2534
2,18,0.2269
2,19,0.2362
2,20,0.2164
3,1,0.2393
3,2,0.2292
3,4,0.2700
3,5,0.2770
3,6,0.2444
3,7,0.2831
3,8,0.2168
3,9,0.3156
3,10,0.2273
3,11,0.2789
3,12,0.2697
3,13,0.3108
3,14,0.2849
3,15,0.3071
3,16,0.2636
3,17,0.2537
3,18,0.2452
3,19,0.2936
3,20,0.2563
4,1,0.2432
4,2,0.2379
4,3,0.2700
4,5,0.2778
4,6,0.2433
4,7,0.2634
4,8,0.2551
4,9,0.2842
4,10,0.2709
4,11,0.2498
4,12,0.2380
4,13,0.2466
4,14,0.2573
4,15,0.2864
4,16,0.2528
4,17,0.2538
4,18,0.2408
4,19,0.2579
4,20,0.2345
5,1,0.2563
5,2,0.2096
5,3,0.2770
5,4,0.2778
5,6,0.2348
5,7,0.2841
5,8,0.2363
5,9,0.2880
5,10,0.2346
5,11,0.2889
5,12,0.2776
5,13,0.2955
5,14,0.2559
5,15,0.2702
5,16,0.2393
5,17,0.2782
5,18,0.2812
5,19,0.2631
5,20,0.2453
6,1,0.2231
6,2,0.1933
6,3,0.2444
6,4,0.2433
6,5,0.2348
6,7,0.2461
6,8,0.2360
6,9,0.2398
6,10,0.2063
6,11,0.2580
6,12,0.2442
6,13,0.2972
6,14,0.2641
6,15,0.2227
6,16,0.2054
6,17,0.2512
6,18,0.2537
6,19,0.2599
6,20,0.2295
7,1,0.2681
7,2,0.2546
7,3,0.2831
7,4,0.2634
7,5,0.2841
7,6,0.2461
7,8,0.2645
7,9,0.2461
7,10,0.2812
7,11,0.2329
7,12,0.2697
7,13,0.2929
7,14,0.2686
7,15,0.2461
7,16,0.2724
7,17,0.2448
7,18,0.2579
7,19,0.2655
7,20,0.2566
8,1,0.2518
8,2,0.2214
8,3,0.2168
8,4,0.2551
8,5,0.2363
8,6,0.2360
8,7,0.2645
8,9,0.2751
8,10,0.2175
8,11,0.3271
8,12,0.2401
8,13,0.3136
8,14,0.2744
8,15,0.2739
8,16,0.2132
8,17,0.2797
8,18,0.2445
8,19,0.2804
8,20,0.2306
9,1,0.2655
9,2,0.2597
9,3,0.3156
9,4,0.2842
9,5,0.2880
9,6,0.2398
9,7,0.2461
9,8,0.2751
9,10,0.2852
9,11,0.2512
9,12,0.2897
9,13,0.2898
9,14,0.2728
9,15,0.2215
9,16,0.2690
9,17,0.2635
9,18,0.2600
9,19,0.2857
9,20,0.2554
10,1,0.2305
10,2,0.2184
10,3,0.2273
10,4,0.2709
10,5,0.2346
10,6,0.2063
10,7,0.2812
10,8,0.2175
10,9,0.2852
10,11,0.2772
10,12,0.2750
10,13,0.2960
10,14,0.2871
10,15,0.2981
10,16,0.2509
10,17,0.2528
10,18,0.2099
10,19,0.2574
10,20,0.2374
11,1,0.2767
11,2,0.2686
11,3,0.2789
11,4,0.2498
11,5,0.2889
11,6,0.2580
11,7,0.2329
11,8,0.3271
11,9,0.2512
11,10,0.2772
11,12,0.2374
11,13,0.2752
11,14,0.2538
11,15,0.2513
11,16,0.2716
11,17,0.2410
11,18,0.2612
11,19,0.2687
11,20,0.2518
12,1,0.2192
12,2,0.2350
12,3,0.2697
12,4,0.2380
12,5,0.2776
12,6,0.2442
12,7,0.2697
12,8,0.2401
12,9,0.2897
12,10,0.2750
12,11,0.2374
12,13,0.2339
12,14,0.2719
12,15,0.2998
12,16,0.2471
12,17,0.2635
12,18,0.2273
12,19,0.2391
12,20,0.2019
13,1,0.2696
13,2,0.2776
13,3,0.3108
13,4,0.2466
13,5,0.2955
13,6,0.2972
13,7,0.2929
13,8,0.3136
13,9,0.2898
13,10,0.2960
13,11,0.2752
13,12,0.2339
13,14,0.2960
13,15,0.2959
13,16,0.2913
13,17,0.2852
13,18,0.2626
13,19,0.2734
13,20,0.2421
14,1,0.2710
14,2,0.2717
14,3,0.2849
14,4,0.2573
14,5,0.2559
14,6,0.2641
14,7,0.2686
14,8,0.2744
14,9,0.2728
14,10,0.2871
14,11,0.2538
14,12,0.2719
14,13,0.2960
14,15,0.2756
14,16,0.2378
14,17,0.2435
14,18,0.2655
14,19,0.2870
14,20,0.2626
15,1,0.2683
15,2,0.2591
15,3,0.3071
15,4,0.2864
15,5,0.2702
15,6,0.2227
15,7,0.2461
15,8,0.2739
15,9,0.2215
15,10,0.2981
15,11,0.2513
15,12,0.2998
15,13,0.2959
15,14,0.2756
15,16,0.2725
15,17,0.2540
15,18,0.2815
15,19,0.2704
15,20,0.2609
16,1,0.2493
16,2,0.2334
16,3,0.2636
16,4,0.2528
16,5,0.2393
16,6,0.2054
16,7,0.2724
16,8,0.2132
16,9,0.2690
16,10,0.2509
16,11,0.2716
16,12,0.2471
16,13,0.2913
16,14,0.2378
16,15,0.2725
16,17,0.2601
16,18,0.2600
16,19,0.2815
16,20,0.2600
17,1,0.1990
17,2,0.2534
17,3,0.2537
17,4,0.2538
17,5,0.2782
17,6,0.2512
17,7,0.2448
17,8,0.2797
17,9,0.2635
17,10,0.2528
17,11,0.2410
17,12,0.2635
17,13,0.2852
17,14,0.2435
17,15,0.2540
