x,y,distortion
17,7,0.7722
17,8,0.7817
17,9,0.7730
17,10,0.7843
17,11,0.7672
17,12,0.7776
17,13,0.7796
17,14,0.7582
17,15,0.7973
17,16,0.7655
17,18,0.7838
17,19,0.7851
17,20,0.7707
18,1,0.7966
18,2,0.8070
18,3,0.7981
18,4,0.8140
18,5,0.7641
18,6,0.7780
18,7,0.8125
18,8,0.8142
18,9,0.8033
18,10,0.7782
18,11,0.7749
18,12,0.7603
18,13,0.8002
18,14,0.7929
18,15,0.8079
18,16,0.8181
18,17,0.7838
18,19,0.8117
18,20,0.8008
19,1,0.7712
19,2,0.7727
19,3,0.8227
19,4,0.8331
19,5,0.8077
19,6,0.8052
19,7,0.7961
19,8,0.7892
19,9,0.8175
19,10,0.8251
19,11,0.7820
19,12,0.8262
19,13,0.7712
19,14,0.8110
19,15,0.8192
19,16,0.8095
19,17,0.7851
19,18,0.8117
19,20,0.8079
20,1,0.7701
20,2,0.7999
20,3,0.8156
20,4,0.7871
20,5,0.8306
20,6,0.7983
20,7,0.8140
20,8,0.7925
20,9,0.8272
20,10,0.7499
20,11,0.7701
20,12,0.7755
20,13,0.7977
20,14,0.7960
20,15,0.8161
20,16,0.8132
20,17,0.7707
20,18,0.8008
20,19,0.8079
